name,year,miles,color,condition,price
Ford Edge,2020,"9,494 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",26795
Chevrolet Equinox,2021,"64,971 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",16289
Volvo XC90,2018,"51,994 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",24999
Lexus RX,2020,"28,999 miles","Black exterior, Unknown interior","1 accident reported, 2 Owners",30999
Land Rover Range Rover,2018,"35,993 miles","White exterior, Black interior","No accidents reported, 2 Owners",47999
Ford Fusion,2018,"61,962 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",14788
Mercedes-Benz C-Class,2020,"15,698 miles","Black exterior, Beige interior","No accidents reported, 1 Owner",30006
Nissan Sentra,2021,"24,044 miles","Black exterior, Black interior","No accidents reported, 1 Owner",20998
Toyota RAV4,2021,"33,636 miles","Red exterior, Black interior","No accidents reported, 1 Owner",24333
Jeep Gladiator,2020,"38,465 miles","White exterior, Black interior","No accidents reported, 1 Owner",28799
Volkswagen Tiguan,2019,"50,950 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",20998
Ford F-150,2023,131 miles,"Gray exterior, Black interior","No accidents reported, 1 Owner",60800
Toyota Camry,2020,"36,853 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",23998
Chevrolet Silverado 1500,2023,"6,779 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",58890
Toyota RAV4,2022,"38,375 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner",24988
Mercedes-Benz E-Class,2019,"38,783 miles","White exterior, Black interior","No accidents reported, 1 Owner",29750
Dodge Charger,2019,"42,526 miles","White exterior, Black interior","No accidents reported, 1 Owner",18000
Chevrolet Volt,2017,"91,969 miles","Black exterior, Black interior","1 accident reported, 1 Owner",14998
Volkswagen Tiguan,2020,"41,266 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18991
Chevrolet Malibu,2018,"84,208 miles","White exterior, Black interior","No accidents reported, 3 Owners",10995
Ford Ranger,2019,"45,072 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",26495
Chevrolet Tahoe,2018,"33,118 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36295
Honda Civic,2020,"18,650 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",20683
Toyota Tacoma,2023,"6,828 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",39500
Chevrolet Camaro,2014,"76,071 miles","Black exterior, Black interior","1 accident reported, 1 Owner",13850
Kia Optima,2015,"86,935 miles","White exterior, Beige interior","No accidents reported, 1 Owner",15998
Toyota Corolla,2021,"62,758 miles","Black exterior, Black interior","No accidents reported, 1 Owner",16900
Dodge Charger,2016,"120,296 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",20998
Toyota Camry,2020,"68,181 miles","Black exterior, Gray interior","1 accident reported, 1 Owner",18988
Kia Soul,2022,"43,839 miles","White exterior, Black interior","No accidents reported, 1 Owner",14999
Jeep Grand Cherokee,2015,"29,063 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",23998
Honda Civic,2012,"100,774 miles","Blue exterior, Gray interior","No accidents reported, 2 Owners",9900
Toyota Corolla,2022,"32,604 miles","Black exterior, Black interior","No accidents reported, 1 Owner",17599
Toyota RAV4,2021,"18,746 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",24999
Jeep Wrangler,2019,"58,038 miles","White exterior, Black interior","No accidents reported, 3 Owners",27998
Honda Odyssey,2012,"122,285 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",14998
Toyota 4Runner,2021,"25,671 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",40998
Honda CR-V,2013,"76,825 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",16998
Subaru Outback,2020,"43,468 miles","White exterior, Gray interior","No accidents reported, 1 Owner",22000
Ford F-150,2021,"66,206 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36475
Land Rover Range Rover Velar,2019,"26,989 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",44395
Honda HR-V,2020,"32,972 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",22143
Ford F-150,2014,"99,018 miles","White exterior, Gray interior","No accidents reported, 1 Owner",14495
Toyota Camry,2016,"100,359 miles","White exterior, Black interior","1 accident reported, 2 Owners",16998
Mercedes-Benz CLA,2020,"25,905 miles","White exterior, Black interior","No accidents reported, 2 Owners",36966
Toyota Tacoma,2021,"19,950 miles","Green exterior, Gray interior","No accidents reported, 1 Owner",33333
Honda Accord,2014,"54,424 miles","Tan exterior, Beige interior","No accidents reported, 3 Owners",17498
Jeep Wrangler,2018,"50,216 miles","White exterior, Black interior","1 accident reported, 3 Owners",24000
Honda S2000,2000,"15,600 miles","Black exterior, Black interior","No accidents reported, 1 Owner",39998
Toyota Tacoma,2019,"48,925 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",27555
Toyota Tacoma,2017,"97,372 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners",21555
Mercedes-Benz GLA,2022,"2,885 miles","Black exterior, Black interior","No accidents reported, 1 Owner",45999
Hyundai Palisade,2020,"47,492 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29000
