name,year,miles,color,condition,price
Toyota Prius,2013,"147,350 miles","Black exterior, Black interior","No accidents reported, 1 Owner",11200
Mercedes-Benz E-Class,2021,"9,624 miles","Red exterior, Beige interior","No accidents reported, 1 Owner",42892
GMC Sierra 1500,2022,"9,641 miles","Black exterior, White interior","No accidents reported, 2 Owners",70988
Toyota Camry,2020,"34,491 miles","Blue exterior, Black interior","1 accident reported, 1 Owner",24998
Toyota Corolla,2014,"106,575 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",10999
Acura RDX,2021,"43,115 miles","Red exterior, Black interior","No accidents reported, 1 Owner",31968
Ford Escape,2017,"114,000 miles","Gold exterior, Black interior","1 accident reported, 2 Owners",8490
Audi A3,2023,"1,529 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",32995
Ram 1500,2020,"25,736 miles","Black exterior, Black interior","No accidents reported, 1 Owner",35998
Toyota Prius v,2013,"98,042 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner",11600
Ford Explorer,2021,"19,369 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",32998
Maserati GranTurismo,2010,"26,107 miles","Black exterior, Black interior","2 accidents reported, 3 Owners",28965
Toyota RAV4,2018,"54,264 miles","White exterior, Black interior","2 accidents reported, 1 Owner",19555
Jeep Wrangler,2013,"117,038 miles","Black exterior, Black interior","No accidents reported, 2 Owners",20495
Honda CR-V,2015,"104,728 miles","White exterior, Unknown interior","No accidents reported, 4 Owners",15891
Ford Fiesta,2016,"68,742 miles","Black exterior, Black interior","No accidents reported, 3 Owners",7500
Chevrolet Malibu,2022,"35,410 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",19998
BMW X1,2021,"14,422 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",26496
Chevrolet Silverado 1500,2016,"103,207 miles","White exterior, Black interior","No accidents reported, 2 Owners",21995
Cadillac Escalade,2022,"16,010 miles","White exterior, Black interior","No accidents reported, 1 Owner",99995
Mercedes-Benz GLC,2021,"22,734 miles","Black exterior, Black interior","1 accident reported, 1 Owner",31990
Chevrolet Silverado 1500,2020,"34,545 miles","Black exterior, Black interior","No accidents reported, 1 Owner",37888
Lexus ES,2022,"14,130 miles","White exterior, Black interior","No accidents reported, 1 Owner",35821
Ford Escape,2017,"76,901 miles","Black exterior, Black interior","2 accidents reported, 2 Owners",13499
Audi A5,2023,"1,751 miles","White exterior, Black interior","No accidents reported, 1 Owner",46286
Mercedes-Benz A-Class,2020,"23,107 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",26510
Ford Explorer,2021,"17,302 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",32998
Chevrolet Malibu,2022,"30,824 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",19999
Acura MDX,2017,"20,095 miles","White exterior, Black interior","No accidents reported, 1 Owner",31998
Mercedes-Benz S-Class,2015,"54,555 miles","Blue exterior, Gray interior","1 accident reported, 3 Owners",33998
GMC Sierra 1500,2017,"79,434 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",26987
Chevrolet Silverado 2500,2004,"47,395 miles","Black exterior, Black interior","No accidents reported, 2 Owners",19500
Subaru Outback,2023,"7,345 miles","White exterior, Gray interior","No accidents reported, 1 Owner",34900
Toyota RAV4 Prime,2021,"37,418 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",37991
Alfa Romeo Stelvio,2022,25 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",34751
BMW X3,2021,"24,706 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",28999
Honda CR-V,2012,"91,988 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",12495
Subaru Ascent,2022,"25,721 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",34984
Toyota Camry,2023,"19,660 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",23935
Toyota Highlander,2021,"34,955 miles","White exterior, Gray interior","No accidents reported, 1 Owner",33994
BMW 6 Series,2016,"83,633 miles","Black exterior, Black interior","1 accident reported, 2 Owners",22750
Toyota Corolla,2021,"74,064 miles","Red exterior, Black interior","1 accident reported, 1 Owner",17994
Subaru Outback,2023,"5,618 miles","White exterior, Gray interior","No accidents reported, 1 Owner",37500
Nissan Rogue,2021,"10,868 miles","Red exterior, Black interior","No accidents reported, 1 Owner",23991
Chevrolet Trax,2020,"21,421 miles","White exterior, Black interior","1 accident reported, 2 Owners",19998
Volvo V60,2020,"45,016 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",32598
Mercedes-Benz GLA,2021,"21,352 miles","Black exterior, Unknown interior","No accidents reported, 3 Owners",29995
Dodge Challenger,2019,"54,568 miles","White exterior, Black interior","No accidents reported, 1 Owner",21998
Audi Q7,2023,"8,581 miles","Black exterior, Black interior","No accidents reported, 1 Owner",51623
Mercedes-Benz A-Class,2021,"7,228 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29046
Chevrolet Malibu,2022,"36,231 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",19998
Cadillac CTS,2016,"97,626 miles","White exterior, Beige interior","1 accident reported, 3 Owners",14900
Honda Accord,2021,"43,043 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",25981
Mercedes-Benz GLE,2017,"60,253 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner",38595
Mercedes-Benz GL,2011,"88,997 miles","Black exterior, Black interior","No accidents reported, 3 Owners",10988
Volkswagen Jetta,2014,"90,795 miles","Black exterior, Black interior","1 accident reported, 2 Owners",14998
Mercedes-Benz CLA,2019,"54,727 miles","Black exterior, Black interior","No accidents reported, 2 Owners",19999
Ford Transit Cargo Van,2021,"26,852 miles","White exterior, Black interior","No accidents reported, 1 Owner",32998
Mercedes-Benz CLA,2023,"7,023 miles","White exterior, Black interior","No accidents reported, 1 Owner",37777
Ford Fusion,2020,"41,553 miles","Black exterior, Black interior","No accidents reported, 1 Owner",19995
Lexus LS,2014,"173,788 miles","Black exterior, Black interior","No accidents reported, 1 Owner",17995
BMW 5 Series,2016,"73,181 miles","Silver exterior, Beige interior","No accidents reported, 3 Owners",14999
Subaru Outback,2021,"18,667 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",27998
Kia Forte,2022,"31,031 miles","White exterior, Black interior","No accidents reported, 1 Owner",18500
Subaru Forester,2022,"4,681 miles","Red exterior, Gray interior","No accidents reported, 1 Owner",28948
Chevrolet Equinox,2013,"50,621 miles","Gray exterior, Gray interior","No accidents reported, 3 Owners",15998
Nissan Versa,2021,"61,250 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",15891
Audi Q7,2019,"25,687 miles","Black exterior, Black interior","2 accidents reported, 1 Owner",33998
Toyota Highlander,2021,"24,754 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",32797
Subaru Crosstrek,2024,"5,020 miles","Black exterior, Black interior","No accidents reported, 1 Owner",30998
BMW 5 Series,2019,"41,249 miles","Black exterior, Black interior","No accidents reported, 1 Owner",25999
Honda Civic,2020,"18,548 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",19995
Mercedes-Benz C-Class,2021,"29,334 miles","Black exterior, Black interior","No accidents reported, 1 Owner",30592
Acura MDX,2020,"39,968 miles","White exterior, Beige interior","No accidents reported, 1 Owner",26789
Nissan Altima,2022,"30,074 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",17799
Ford Escape,2021,"34,484 miles","White exterior, Gray interior","No accidents reported, 2 Owners",16540
Mercedes-Benz GLB,2023,"8,591 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",37777
Toyota Camry,2022,"35,848 miles","Red exterior, Gray interior","No accidents reported, 1 Owner",23993
Mercedes-Benz CLA,2021,"22,778 miles","Black exterior, Black interior","No accidents reported, 1 Owner",26999
Mercedes-Benz GLC,2019,"23,268 miles","Blue exterior, Unknown interior","1 accident reported, 3 Owners",32998
BMW 3 Series,2021,"28,852 miles","White exterior, Black interior","No accidents reported, 1 Owner",28999
Chevrolet Malibu,2021,"62,149 miles","Red exterior, Black interior","No accidents reported, 1 Owner",18554
Toyota RAV4,2021,"38,305 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",25381
Hyundai Genesis,2016,"58,912 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",18998
Audi A4,2018,"60,428 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",19399
Nissan Altima,2020,"58,459 miles","Gray exterior, Black interior","1 accident reported, 4 Owners",19998
Mercedes-Benz GLC,2021,"9,573 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",34421
Volkswagen Tiguan,2020,"23,484 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",19777
Chevrolet Equinox,2016,"41,207 miles","Black exterior, Black interior","1 accident reported, 2 Owners",18998
BMW X3,2022,"40,474 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",30998
Audi A3,2023,"1,350 miles","Black exterior, Black interior","No accidents reported, 1 Owner",33995
MINI Countryman,2018,"70,844 miles","Blue exterior, Black interior","No accidents reported, 2 Owners",21998
Audi A3,2023,"2,717 miles","Black exterior, Black interior","No accidents reported, 1 Owner",33500
Volkswagen Jetta,2019,"43,481 miles","White exterior, Black interior","No accidents reported, 2 Owners",17998
Subaru Forester,2021,"46,578 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner",21388
Kia Optima,2018,"137,615 miles","Black exterior, Black interior","1 accident reported, 2 Owners",8499
Subaru Outback,2020,"24,615 miles","Gray exterior, Brown interior","No accidents reported, 1 Owner",29239
Honda Pilot,2020,"47,973 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",27500
Mercedes-Benz GLE,2021,"36,225 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",42997
Toyota Tundra,2017,"78,171 miles","Black exterior, Gray interior","2 accidents reported, 2 Owners",32998
Nissan Murano,2018,"94,426 miles","Silver exterior, Gray interior","No accidents reported, 4 Owners",13987
Mazda Mazda3,2020,"26,137 miles","Red exterior, Black interior","No accidents reported, 1 Owner",23333
Porsche 911,2008,"43,698 miles","Black exterior, Black interior","No accidents reported, 1 Owner",58727
Jaguar F-PACE,2019,"60,812 miles","White exterior, Black interior","1 accident reported, 1 Owner",19349
Mercedes-Benz S-Class,2007,"94,629 miles","Unknown exterior, Unknown interior","No accidents reported, 3 Owners",9999
Toyota Corolla,2020,"23,460 miles","White exterior, Gray interior","No accidents reported, 1 Owner",20495
Honda Civic,2018,"84,732 miles","Black exterior, Black interior","No accidents reported, 3 Owners",16500
Mercedes-Benz GLB,2023,"7,111 miles","Blue exterior, Beige interior","No accidents reported, 1 Owner",41061
Mercedes-Benz E-Class,2021,"28,450 miles","Black exterior, Black interior","No accidents reported, 1 Owner",37968
Chevrolet Tahoe,2021,"63,335 miles","Black exterior, Black interior","No accidents reported, 1 Owner",41500
Hyundai Tucson,2019,"50,496 miles","Blue exterior, Black interior","No accidents reported, 2 Owners",18998
Toyota Corolla,2021,"43,589 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",19693
Hyundai Santa Fe,2020,"27,814 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",20987
Toyota Corolla,2021,"64,916 miles","Black exterior, Black interior","No accidents reported, 1 Owner",18694
Alfa Romeo Stelvio,2022,88 miles,"Gray exterior, Black interior","No accidents reported, 1 Owner",30459
Kia Forte,2019,"53,113 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",15695
Mercedes-Benz C-Class,2015,"132,700 miles","Gray exterior, Unknown interior","No accidents reported, 4 Owners",12295
Acura MDX,2020,"18,666 miles","White exterior, Black interior","No accidents reported, 1 Owner",29896
Chevrolet Malibu,2020,"80,174 miles","Silver exterior, Black interior","1 accident reported, 2 Owners",14995
Land Rover Discovery Sport,2016,"86,246 miles","Black exterior, Black interior","No accidents reported, 4 Owners",12995
Chevrolet Tahoe,2016,"96,825 miles","Black exterior, Black interior","No accidents reported, 2 Owners",26987
Audi A5,2023,"3,037 miles","Black exterior, Black interior","No accidents reported, 1 Owner",39232
BMW X3,2021,"29,388 miles","White exterior, Black interior","No accidents reported, 1 Owner",29999
Honda Civic,2020,"16,589 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",20565
Mercedes-Benz GLE,2021,"29,428 miles","White exterior, Black interior","1 accident reported, 1 Owner",39998
Honda Pilot,2023,"5,562 miles","Black exterior, Black interior","No accidents reported, 1 Owner",50222
Audi A4,2023,564 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",35500
Honda Accord,2021,"52,184 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner",28485
Ford Fusion,2012,"98,474 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner",7995
Jeep Wrangler,2018,"52,098 miles","Black exterior, Black interior","No accidents reported, 1 Owner",24910
Mercedes-Benz GLC,2021,"7,234 miles","White exterior, Beige interior","No accidents reported, 1 Owner",31933
GMC Yukon,2011,"157,099 miles","Black exterior, Black interior","No accidents reported, 3 Owners",9999
BMW X3,2014,"58,663 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18998
Toyota Corolla,2020,"28,547 miles","White exterior, Black interior","No accidents reported, 1 Owner",20614
Nissan Sentra,2023,766 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",20897
Audi Q5,2013,"115,118 miles","Gray exterior, Black interior","1 accident reported, 3 Owners",11995
Mazda Mazda6,2016,"57,157 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",15995
Toyota RAV4,2021,"19,768 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",35999
BMW 3 Series,2016,"50,360 miles","Black exterior, Red interior","No accidents reported, 3 Owners",17450
Volkswagen Jetta,2020,"53,724 miles","White exterior, Black interior","1 accident reported, 1 Owner",16790
Nissan Kicks,2020,"27,213 miles","Red exterior, Black interior","No accidents reported, 2 Owners",16886
Honda Civic,2019,"31,114 miles","Black exterior, Black interior","No accidents reported, 2 Owners",21998
Mazda CX-5,2021,"12,662 miles","Red exterior, Black interior","No accidents reported, 1 Owner",26691
Ford Explorer,2016,"54,407 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners",23896
Karma Revero GT,2020,"7,685 miles","Black exterior, Black interior","No accidents reported, 1 Owner",63728
Mercedes-Benz GLB,2023,"7,842 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",39999
Kia K5,2022,"35,452 miles","White exterior, Black interior","No accidents reported, 1 Owner",23000
Subaru Forester,2014,"103,854 miles","White exterior, Gray interior","1 accident reported, 2 Owners",12495
Nissan Sentra,2019,"50,110 miles","White exterior, Black interior","No accidents reported, 2 Owners",16998
Audi Q5,2018,"43,865 miles","Blue exterior, Black interior","1 accident reported, 2 Owners",19992
BMW 4 Series,2016,"79,607 miles","Black exterior, Black interior","No accidents reported, 0 Owners",15777
Chevrolet Cruze,2018,"70,218 miles","Black exterior, Black interior","1 accident reported, 1 Owner",13200
Mazda CX-9,2015,"81,726 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",16998
BMW X3,2020,"66,846 miles","Black exterior, Black interior","No accidents reported, 1 Owner",20996
Ford Fusion,2014,"133,890 miles","Silver exterior, Black interior","No accidents reported, 3 Owners",7495
Chevrolet Traverse,2019,"31,111 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",27999
Mercedes-Benz SLC,2017,"57,090 miles","Black exterior, Red interior","1 accident reported, 3 Owners",22500
Toyota RAV4,2021,"25,326 miles","White exterior, Black interior","1 accident reported, 1 Owner",27998
Kia Sportage,2021,"20,863 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",18441
Dodge Charger,2022,"20,507 miles","Black exterior, Black interior","No accidents reported, 1 Owner",24988
Alfa Romeo Giulia,2022,55 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",30541
Honda Accord,2021,"35,759 miles","White exterior, Beige interior","No accidents reported, 1 Owner",24899
Toyota Camry,2019,"64,053 miles","White exterior, Black interior","1 accident reported, 2 Owners",21998
INFINITI Q50,2014,"31,757 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",22998
Ford Escape,2014,"84,574 miles","Black exterior, Black interior","1 accident reported, 2 Owners",13795
Chevrolet Silverado 1500,2017,"64,185 miles","White exterior, Black interior","3 accidents reported, 1 Owner",30300
Toyota Camry,2021,"25,826 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",20995
Nissan Rogue,2020,"87,596 miles","Gray exterior, Black interior","No accidents reported, 3 Owners",12777
Mercedes-Benz A-Class,2019,"29,934 miles","Black exterior, Black interior","No accidents reported, 1 Owner",25899
BMW X3,2021,"24,094 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",29456
Audi Q7,2023,"2,403 miles","Black exterior, Black interior","No accidents reported, 1 Owner",54664
GMC Yukon,2021,"41,662 miles","Gray exterior, Brown interior","No accidents reported, 1 Owner",60782
Mercedes-Benz GLE,2021,"44,380 miles","Black exterior, Black interior","No accidents reported, 1 Owner",43829
Lexus RX,2020,"23,942 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",35998
Toyota RAV4,2021,"18,448 miles","Black exterior, Black interior","No accidents reported, 2 Owners",35998
Mazda Mazda3,2016,"37,810 miles","Blue exterior, Black interior","No accidents reported, 2 Owners",18998
Hyundai Santa Fe,2021,"39,099 miles","Blue exterior, Black interior","1 accident reported, 1 Owner",23998
Mercedes-Benz S-Class,2014,"124,184 miles","White exterior, Black interior","1 accident reported, 3 Owners",21777
Ford F-150,2021,"37,193 miles","Black exterior, Gray interior","1 accident reported, 2 Owners",34998
Mazda CX-5,2022,"6,242 miles","Red exterior, Black interior","1 accident reported, 1 Owner",28891
Dodge Charger,2019,"71,018 miles","Black exterior, Black interior","No accidents reported, 3 Owners",20959
Audi Q5,2020,"13,984 miles","White exterior, Beige interior","No accidents reported, 1 Owner",33888
Toyota Tundra,2014,"57,738 miles","Black exterior, Brown interior","2 accidents reported, 3 Owners",33998
Alfa Romeo Stelvio,2022,68 miles,"White exterior, Black interior","No accidents reported, 1 Owner",30460
Land Rover Range Rover,2018,"45,880 miles","Black exterior, Gray interior","No accidents reported, 2 Owners",46999
INFINITI Q50,2020,"55,039 miles","Black exterior, Gray interior","1 accident reported, 2 Owners",22597
BMW X1,2018,"55,265 miles","White exterior, Black interior","1 accident reported, 2 Owners",21998
Chevrolet Cruze,2018,"95,458 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",10995
Cadillac XT4,2020,"19,490 miles","White exterior, Red interior","No accidents reported, 1 Owner",27995
Lexus IS,2010,"122,850 miles","Gray exterior, Beige interior","No accidents reported, 3 Owners",12991
Honda Civic,2022,"51,155 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",22500
Subaru Impreza,2019,"35,495 miles","Black exterior, Black interior","No accidents reported, 1 Owner",18999
Lexus ES,2021,"21,289 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",37998
Volkswagen Jetta,2013,"112,519 miles","Silver exterior, Black interior","1 accident reported, 2 Owners",6950
Volkswagen Jetta,2015,"91,736 miles","Black exterior, Black interior","1 accident reported, 4 Owners",8995
Subaru Forester,2021,"24,454 miles","Green exterior, Gray interior","No accidents reported, 1 Owner",26555
Audi Q5,2021,"40,208 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36998
Subaru Forester,2023,"6,290 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",33500
Toyota Corolla,2021,"80,771 miles","Blue exterior, Black interior","1 accident reported, 1 Owner",17495
Alfa Romeo Giulia,2022,46 miles,"White exterior, Black interior","No accidents reported, 1 Owner",30542
Toyota Corolla,2011,"101,056 miles","White exterior, Gray interior","No accidents reported, 2 Owners",9991
GMC Acadia,2019,"62,813 miles","Black exterior, Black interior","1 accident reported, 1 Owner",19500
Ford F-150,2020,"64,447 miles","Black exterior, Gray interior","1 accident reported, 2 Owners",31998
Jeep Wrangler,2018,"56,425 miles","White exterior, Black interior","No accidents reported, 1 Owner",21920
Mazda CX-30,2022,"29,308 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",24750
Alfa Romeo Stelvio,2022,85 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",35488
Hyundai Elantra,2017,"104,050 miles","Gray exterior, Gray interior","2 accidents reported, 2 Owners",12998
Honda Accord,2021,"49,141 miles","White exterior, Beige interior","No accidents reported, 1 Owner",26035
Chevrolet Silverado 1500,2019,"76,920 miles","Black exterior, Black interior","1 accident reported, 2 Owners",31998
Ford Fusion,2020,"12,733 miles","White exterior, Black interior","No accidents reported, 1 Owner",20995
Mercedes-Benz GLE,2021,"27,163 miles","Black exterior, Black interior","No accidents reported, 1 Owner",41433
Mercedes-Benz GLE,2022,"26,766 miles","Black exterior, Black interior","No accidents reported, 1 Owner",50723
Honda Civic,2021,"41,190 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",21999
Kia Forte,2021,"9,443 miles","Red exterior, Black interior","No accidents reported, 1 Owner",17995
Toyota Sienna,2017,"92,197 miles","Black exterior, Gray interior","No accidents reported, 3 Owners",22998
Ford Explorer,2016,"91,885 miles","Black exterior, Black interior","No accidents reported, 3 Owners",15995
Mercedes-Benz C-Class,2023,"4,508 miles","White exterior, White interior","No accidents reported, 1 Owner",57363
Subaru Outback,2017,"51,853 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner",22158
BMW 3 Series,2017,"59,572 miles","White exterior, Brown interior","No accidents reported, 3 Owners",18999
Kia Forte,2015,"67,246 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner",9990
Toyota RAV4,2021,"33,118 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",28194
Hyundai Elantra,2020,"60,791 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",14088
Audi Q7,2021,"38,785 miles","Tan exterior, Black interior","No accidents reported, 1 Owner",42998
Mercedes-Benz S-Class,2019,"48,491 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",49499
Mercedes-Benz A-Class,2021,"34,576 miles","Blue exterior, Black interior","No accidents reported, 3 Owners",26510
Honda Civic,2017,"94,751 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",16998
Acura MDX,2014,"76,699 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner",16449
Chevrolet Equinox,2020,"26,267 miles","White exterior, Black interior","No accidents reported, 1 Owner",23777
Land Rover Range Rover Evoque,2019,"45,704 miles","White exterior, Black interior","1 accident reported, 3 Owners",24499
Subaru Ascent,2021,"55,635 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",24988
INFINITI QX60,2018,"63,000 miles","Gray exterior, Brown interior","No accidents reported, 2 Owners",19988
Lexus RX,2015,"59,705 miles","Gray exterior, Black interior","2 accidents reported, 2 Owners",19999
BMW 2 Series,2016,"97,076 miles","Gray exterior, Red interior","1 accident reported, 2 Owners",12987
Volkswagen Tiguan,2021,"6,994 miles","White exterior, Black interior","No accidents reported, 1 Owner",20894
Chevrolet Silverado 1500,2020,"67,465 miles","White exterior, Black interior","1 accident reported, 1 Owner",31998
Ford Escape,2009,"96,991 miles","White exterior, Unknown interior","No accidents reported, 2 Owners",7900
Jeep Wrangler,2022,"23,799 miles","White exterior, Brown interior","No accidents reported, 1 Owner",42998
Mercedes-Benz GLB,2021,"21,591 miles","White exterior, Black interior","No accidents reported, 1 Owner",30896
BMW 4 Series,2016,"85,987 miles","Black exterior, Black interior","No accidents reported, 2 Owners",19994
Volkswagen Tiguan,2020,"16,789 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",20777
Honda Crosstour,2013,"75,935 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",11798
Kia Seltos,2021,"43,244 miles","White exterior, Black interior","No accidents reported, 1 Owner",20100
Jeep Wrangler,2022,"18,815 miles","White exterior, Black interior","No accidents reported, 1 Owner",45271
Hyundai Tucson,2022,"18,493 miles","Black exterior, Black interior","No accidents reported, 1 Owner",22500
Mercedes-Benz GLC,2019,"19,494 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",27998
BMW 3 Series,2011,"93,632 miles","Gray exterior, Gray interior","No accidents reported, 4 Owners",7500
Mercedes-Benz GLA,2015,"71,278 miles","Black exterior, Beige interior","1 accident reported, 2 Owners",13987
Ford F-150,2020,"47,109 miles","Black exterior, Black interior","1 accident reported, 1 Owner",31998
Ford Fiesta,2015,"85,972 miles","Black exterior, Black interior","No accidents reported, 1 Owner",6900
Mercedes-Benz C-Class,2020,"25,532 miles","White exterior, Black interior","No accidents reported, 2 Owners",47000
Chevrolet Camaro,2020,"80,497 miles","White exterior, Black interior","1 accident reported, 3 Owners",30987
Kia Forte,2022,"29,105 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",16999
Lexus NX,2021,"34,218 miles","White exterior, Beige interior","No accidents reported, 1 Owner",28250
Nissan Sentra,2022,"8,554 miles","White exterior, Black interior","No accidents reported, 1 Owner",21988
Audi A3,2023,"2,266 miles","Black exterior, Black interior","No accidents reported, 1 Owner",32995
Kia K5,2022,"18,696 miles","White exterior, Black interior","No accidents reported, 1 Owner",26991
Mercedes-Benz GLE,2021,"22,944 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",47157
Audi A3,2023,"2,521 miles","Black exterior, Black interior","No accidents reported, 1 Owner",32995
Kia Soul,2020,"66,114 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",13900
Audi Q7,2019,"26,958 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner",29998
Mercedes-Benz C-Class,2019,"37,366 miles","Black exterior, Black interior","No accidents reported, 2 Owners",25262
Mercedes-Benz GLB,2020,"31,656 miles","Unknown exterior, Black interior","No accidents reported, 1 Owner",27990
Ford Escape,2017,"76,901 miles","Black exterior, Black interior","2 accidents reported, 2 Owners",13499
Audi A5,2023,"1,751 miles","White exterior, Black interior","No accidents reported, 1 Owner",46286
Mercedes-Benz A-Class,2020,"23,107 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",26510
Chevrolet Malibu,2022,"30,824 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",19999
Kia Optima,2020,"71,000 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",16900
Chevrolet Silverado 1500,2018,"61,608 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",30549
Cadillac XT4,2020,"16,804 miles","Black exterior, Black interior","No accidents reported, 1 Owner",27995
Mercedes-Benz CLS,2019,"23,351 miles","White exterior, Black interior","No accidents reported, 1 Owner",43895
Ford F-150,2023,"2,816 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",80000
Toyota Corolla,2010,"151,649 miles","Black exterior, Gray interior","1 accident reported, 3 Owners",5680
Subaru Forester,2020,"22,828 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",26500
Hyundai Elantra,2018,"40,223 miles","Silver exterior, Gray interior","No accidents reported, 3 Owners",12999
Mercedes-Benz GLC,2021,"29,755 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner",29933
Nissan Sentra,2020,"18,122 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",18954
Toyota Camry,2021,"20,182 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",22995
Honda Odyssey,2013,"97,773 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",17998
Mercedes-Benz S-Class,2016,"39,327 miles","Black exterior, Black interior","1 accident reported, 2 Owners",48919
Hyundai Sonata,2016,"88,567 miles","Black exterior, Black interior","No accidents reported, 1 Owner",15998
Volkswagen Tiguan,2022,"7,139 miles","White exterior, Black interior","No accidents reported, 1 Owner",26399
Ford Transit Cargo Van,2021,"22,280 miles","White exterior, Black interior","No accidents reported, 1 Owner",32998
Honda Civic,2022,"8,100 miles","White exterior, Black interior","No accidents reported, 1 Owner",24991
Audi A5,2020,"39,232 miles","White exterior, Black interior","2 accidents reported, 1 Owner",33998
Nissan Sentra,2019,"37,152 miles","White exterior, Black interior","No accidents reported, 1 Owner",13799
